景区名称,景区链接,地址,点评数,评分
尧山,https://you.ctrip.com/sight/guilin28/2887.html?scene=online,广西壮族自治区桂林市七星区,400.0,4.3
靖江王陵,https://you.ctrip.com/sight/guilin28/50287.html?scene=online,桂林市七星区东郊尧山西南麓,51.0,4.2
李宗仁官邸,https://you.ctrip.com/sight/guilin28/50437.html?scene=online,桂林市象山区文明路4号,132.0,4.4
《山水间》演出,https://you.ctrip.com/sight/guilin28/140491.html?scene=online,广西壮族自治区桂林市象山区平山街道,126.0,4.2
《新梦幻漓江》大型山水情景剧,https://you.ctrip.com/sight/guilin28/137423.html?scene=online,桂林市七星区七星路95号,93.0,4.1
梦幻漓江剧场,https://you.ctrip.com/sight/guilin28/144176085.html?scene=online,广西壮族自治区桂林市七星区七星路95号（近国土资源部岩溶地质研究所）,93.0,错误
黄布倒影,https://you.ctrip.com/sight/yangshuo702/50088.html?scene=online,广西壮族自治区桂林市阳朔县漓江83公里精华段兴坪古镇境内(兴坪码头对面),94.0,4.6
桂林兴坪漓江(20元人民币背景),https://you.ctrip.com/sight/yangshuo702/148767111.html?scene=online,桂林市阳朔县榕潭街兴坪古镇,3.0,3.7
龙胜温泉,https://you.ctrip.com/sight/longsheng1445120/18143.html?scene=online,广西龙胜龙胜温泉度假中心,249.0,4.2
三千漓中国山水人文度假区,https://you.ctrip.com/sight/yangshuo702/5103397.html?scene=online,广西壮族自治区桂林市阳朔县兴坪镇凤凰路1号,110.0,4.5
燕莎滑翔伞飞行,https://you.ctrip.com/sight/yangshuo702/2483483.html?scene=online,广西省桂林市阳朔县山水大道阳朔燕莎航空运动营地,26.0,3.8
金坑大寨红瑶梯田,https://you.ctrip.com/sight/longsheng1445120/148480066.html?scene=online,桂林市龙胜各族自治县552乡道321国道路口附近龙脊梯田风景名胜区内,1.0,
金钟山旅游度假区,https://you.ctrip.com/sight/yongfu1445352/131673.html?scene=online,广西壮族自治区桂林市永福县罗锦镇,39.0,4.2
永福天坑,https://you.ctrip.com/sight/yongfu1445352/140498.html?scene=online,桂林市永福县罗锦镇金钟山旅游度假区,60.0,4.4
金水岩,https://you.ctrip.com/sight/yangshuo702/50258.html?scene=online,桂林市阳朔县历村十里画廊内,215.0,3.6
展卓直升机阳朔基地,https://you.ctrip.com/sight/yangshuo702/2016604.html?scene=online,桂林市阳朔县高田镇高田高速路口,51.0,4.3
程阳八寨,https://you.ctrip.com/sight/sanjiang975/131755.html?scene=online,柳州市三江侗族自治县林溪镇平岩村,1052.0,4.4
榕杉湖景区,https://you.ctrip.com/sight/guilin28/137447.html?scene=online,广西壮族自治区桂林市秀峰区榕湖南路14号,184.0,4.7
漓江盛景号游船,https://you.ctrip.com/sight/lingchuan3064/1789685.html?scene=online,桂林市灵川县漓江景区磨盘山码头上船；水东门码头下船,456.0,4.7
逍遥楼,https://you.ctrip.com/sight/guilin28/1834669.html?scene=online,广西壮族自治区桂林市秀峰区江南巷2号,40.0,4.4
“阳朔夜宴”演出,https://you.ctrip.com/sight/yangshuo702/140825007.html?scene=online,广西壮族自治区桂林市阳朔县G321(广成线),9.0,4.2
桂林十二滩漂流,https://you.ctrip.com/sight/guilin28/141524.html?scene=online,广西壮族自治区桂林市临桂区321国道西,49.0,4.5
兴坪渔村,https://you.ctrip.com/sight/yangshuo702/5135952.html?scene=online,广西壮族自治区阳朔县兴坪镇,17.0,4.3
靖江王府-广智门,https://you.ctrip.com/sight/guilin28/143730614.html?scene=online,凤北路22号独秀峰王城景区,1.0,
山水园,https://you.ctrip.com/sight/yangshuo702/22090.html?scene=online,广西壮族自治区桂林市阳朔县滨江路2号,273.0,4.6
金佛顶,https://you.ctrip.com/sight/longsheng1445120/1714101.html?scene=online,广西壮族自治区桂林市龙胜各族自治县龙脊镇龙脊梯田风景名胜区内,20.0,4.7
燕莎热气球飞行体验,https://you.ctrip.com/sight/yangshuo702/2482881.html?scene=online,广西省桂林市阳朔县山水大道阳朔燕莎航空运动营地,43.0,3.4
中心广场,https://you.ctrip.com/sight/guilin28/108723.html?scene=online,桂林市秀峰区依仁路22号,106.0,4.4
水晶宫,https://you.ctrip.com/sight/guilin28/69570429.html?scene=online,桂林市雁山区桂林愚自乐园,7.0,4.9
桂林融创欢乐部落,https://you.ctrip.com/sight/guilin28/5715382.html?scene=online,桂林市雁山区大雁路398号,57.0,4.3
平安壮族梯田观景区,https://you.ctrip.com/sight/longsheng1445120/1417346.html?scene=online,桂林市龙胜各族自治县和平乡平安村1号,38.0,4.5
桂林博物馆,https://you.ctrip.com/sight/guilin28/48668.html?scene=online,桂林市临桂区平桂西路一院两馆内,83.0,4.6
一院两馆,https://you.ctrip.com/sight/guilin28/130369324.html?scene=online,广西壮族自治区桂林市临桂区中心公园西北侧,1.0,
七星伴月,https://you.ctrip.com/sight/longsheng1445120/137435.html?scene=online,桂林市龙胜各族县和平乡平安村龙脊梯田平安壮族梯田观景区内,115.0,4.5
骆驼过江,https://you.ctrip.com/sight/yangshuo702/52542.html?scene=online,桂林市阳朔县广成线阳朔双江生态度假酒店西南侧约150米,28.0,4.5
鹿寨香桥岩溶国家地质公园,https://you.ctrip.com/sight/luzhai3054/1407599.html?scene=online,广西壮族自治区柳州市鹿寨县中渡镇大兆村内,413.0,4.5
贡院,https://you.ctrip.com/sight/guilin28/131491.html?scene=online,叠彩区中华路靖江王府内,36.0,4.1
江永上甘棠古村景区,https://you.ctrip.com/sight/jiangyong2831/60868.html?scene=online,永州市江永县城西南25公里的夏层铺镇,96.0,4.6
九龙五虎观景台,https://you.ctrip.com/sight/longsheng1445120/1417342.html?scene=online,桂林市龙胜各族自治县和平乡平安村1号平安壮族梯田观景区内,49.0,4.7
飞拉达攀岩基地,https://you.ctrip.com/sight/yangshuo702/5012380.html?scene=online,广西壮族自治区桂林市阳朔县遇龙河生态公园门口东南100米,13.0,4.6
阳朔公园,https://you.ctrip.com/sight/yangshuo702/48892.html?scene=online,广西壮族自治区桂林市阳朔县叠翠路36号,236.0,4.4
虞山公园,https://you.ctrip.com/sight/guilin28/48669.html?scene=online,广西壮族自治区桂林市叠彩区中山北路70号,133.0,4.4
小马ATV全地形车沙滩越野车基地,https://you.ctrip.com/sight/yangshuo702/105144403.html?scene=online,广西壮族自治区桂林市阳朔县葡萄镇往古石城方向5公里,2.0,3.5
阳朔燕豪航空基地,https://you.ctrip.com/sight/yangshuo702/5716558.html?scene=online,广西壮族自治区桂林市阳朔县兴坪镇画山村委韭菜山村,1.0,
乌龙泉,https://you.ctrip.com/sight/yangshuo702/108063988.html?scene=online,广西桂林阳朔县葡萄镇,3.0,
恭城红岩村,https://you.ctrip.com/sight/gongcheng1446252/1830751.html?scene=online,广西壮族自治区桂林市恭城瑶族自治县莲花镇,45.0,4.5
资源丹霞地质公园,https://you.ctrip.com/sight/ziyuan980/131698.html?scene=online,广西壮族自治区桂林市资源县资源镇桂林资江景区资江丹霞旅游码头,9.0,4.7
佑子湾民俗风情园,https://you.ctrip.com/sight/guilin28/90499411.html?scene=online,广西壮族自治区桂林市临桂区大雁路中国石油桂阳上行加油站东南,7.0,1.7
白沙渔火,https://you.ctrip.com/sight/yangshuo702/50094.html?scene=online,桂林市阳朔县阳朔大桥附近的一道河湾（碧莲峰后因爱山峰阻挡形成了一道河湾，称之为白沙湾）。,32.0,4.4
龙脊梯田门票,https://you.ctrip.com/sight/longsheng1445120/145623213.html?scene=online,桂林市龙胜各族自治县龙脊梯田风景名胜区,4956.0,错误
老山界龙潭江景区,https://you.ctrip.com/sight/xingancounty722/131905106.html?scene=online,广西壮族自治区桂林市兴安县华江瑶族乡龙塘江村18号,错误,错误
尚水美食街,https://you.ctrip.com/sight/guilin28/1732367.html?scene=online,广西壮族自治区桂林市秀峰区滨江路15号,53,4.5
桂林动物园,https://you.ctrip.com/sight/guilin28/131512.html?scene=online,七星路1号(龙隐小学旁),232,3.6
万景竹筏漂流,https://you.ctrip.com/sight/yangshuo702/3499292.html?scene=online,桂林市水厄底码头,4,2.5
訾洲岛·观象山,https://you.ctrip.com/sight/guilin28/141699.html?scene=online,广西壮族自治区桂林市七星区穿山路8号,2238,4.8
桂林市訾洲岛景区,https://you.ctrip.com/sight/guilin28/143726492.html?scene=online,广西壮族自治区桂林市七星区穿山路8号,2238,错误
漓江古东景区-古东瀑布景区,https://you.ctrip.com/sight/lingchuan3064/145699344.html?scene=online,桂林市灵川县漓江古东景区,629,错误
工农桥,https://you.ctrip.com/sight/yangshuo702/132432.html?scene=online,桂林市阳朔县十里画廊景区内,67,4.5
骆驼山,https://you.ctrip.com/sight/guilin28/1417431.html?scene=online,广西壮族自治区桂林市七星区七星路1号七星景区内,38,4.4
桂林阳朔,https://you.ctrip.com/sight/yangshuo702/149376982.html?scene=online,城南六公里聚龙潭,2,
桂林红溪大峡谷,https://you.ctrip.com/sight/guilin28/48682.html?scene=online,广西壮族自治区桂林市临桂区中庸乡桂林红溪森林瀑布景区,87,4.3
桂林十大名山水上游,https://you.ctrip.com/sight/guilin28/1487985.html?scene=online,桂林市安新北路三号安新洲码头,76,
象鼻山,https://you.ctrip.com/sight/lingchuan3064/98277267.html?scene=online,桂林市灵川县漓江内,1,
朝板山,https://you.ctrip.com/sight/yangshuo702/145127085.html?scene=online,桂林市阳朔县临江路250号漓江景区,1,
漓江万程号游船,https://you.ctrip.com/sight/guilin28/147689070.html?scene=online,桂林市七星区漓江景区竹江客运港,1,
龙脊索道,https://you.ctrip.com/sight/longsheng1445120/148473886.html?scene=online,龙脊大瑶寨梯田观景区内,93,错误
阳朔电视塔,https://you.ctrip.com/sight/yangshuo702/1834885.html?scene=online,广西壮族自治区桂林市阳朔县阳朔镇武警路新西街大酒店西南400米,48,4.7
马岭鼓寨,https://you.ctrip.com/sight/lipu2020/3389512.html?scene=online,广西壮族自治区桂林市荔浦市马岭镇同善村潘厂屯王社岭,192,4.1
中国科学院桂林植物园,https://you.ctrip.com/sight/guilin28/1835527.html?scene=online,桂林市雁山区雁山街85号,20,3.9
大面山,https://you.ctrip.com/sight/yangshuo702/1788454.html?scene=online,桂林市阳朔县兴坪镇大河背村,15,4.6
宋靖江王城,https://you.ctrip.com/sight/guilin28/69269523.html?scene=online,桂林市秀峰区榕湖北路13号,2,
靖江王府城门楼,https://you.ctrip.com/sight/yangshuo702/145364969.html?scene=online,广西壮族自治区桂林市阳朔县桂林千古情景区内,1,
古南门,https://you.ctrip.com/sight/guilin28/1417487.html?scene=online,桂林市秀峰区榕湖北路13号,92,4.6
“桂花号”主题游船,https://you.ctrip.com/sight/guilin28/145105615.html?scene=online,广西壮族自治区桂林市阳朔县竹江码头,1544,错误
桂林解放桥,https://you.ctrip.com/sight/guilin28/1830869.html?scene=online,广西壮族自治区桂林市,57,4.4
秦皇宫景区,https://you.ctrip.com/sight/xingancounty722/1417612.html?scene=online,桂林市兴安县湘江路126号,41,4.6
桂林美术馆,https://you.ctrip.com/sight/guilin28/1830864.html?scene=online,广西壮族自治区桂林市七星区自由路2号,17,4.2
遇龙桥,https://you.ctrip.com/sight/yangshuo702/22078.html?scene=online,广西壮族自治区桂林市阳朔县白沙镇遇龙村20号,66,4.4
月亮水岩,https://you.ctrip.com/sight/yangshuo702/50295.html?scene=online,桂林市阳朔县高田镇平塘村098县道南100米,4,
海洋银杏,https://you.ctrip.com/sight/lingchuan3064/137403.html?scene=online,桂林市灵川县113县道附近,42,4.3
乌布小镇,https://you.ctrip.com/sight/yangshuo702/112647293.html?scene=online,广西壮族自治区桂林市阳朔县荆风南路42号,1,
七仙峰茶场,https://you.ctrip.com/sight/yangshuo702/1702274.html?scene=online,桂林市阳朔县069乡道附近,11,4.4
龙脊大瑶寨梯田观景区,https://you.ctrip.com/sight/longsheng1445120/132092.html?scene=online,桂林市龙胜各族自治县龙脊景区金坑梯田,93,4.6
漓江兴坪段游船,https://you.ctrip.com/sight/yangshuo702/149314885.html?scene=online,桂林市阳朔县兴坪古镇,1,错误
广西桂林国家森林公园,https://you.ctrip.com/sight/guilin28/2605420.html?scene=online,桂林市象山区万福路66号,17,4.7
海洋村,https://you.ctrip.com/sight/lingchuan3064/131601.html?scene=online,广西壮族自治区桂林市灵川县海洋乡(近大圩),32,4.4
兴坪佳境,https://you.ctrip.com/sight/lingchuan3064/98277285.html?scene=online,桂林市灵川县漓江内,1,错误
龙脊梯田风景名胜区-平安寨梯田,https://you.ctrip.com/sight/longsheng1445120/145544926.html?scene=online,广西壮族自治区桂林市龙胜各族自治县和平乡平安村1号,1,
水月洞,https://you.ctrip.com/sight/guilin28/1713969.html?scene=online,桂林市象山区滨江路1号象山景区内,34,4.7
永福温泉,https://you.ctrip.com/sight/yongfu1445352/140504.html?scene=online,桂林市永福县罗锦镇金钟山旅游度假区金钟山假日酒店旁边,63,4.5
阳朔印象刘三姐剧场,https://you.ctrip.com/sight/yangshuo702/133552043.html?scene=online,桂林市阳朔县东街田园路1号,1,
会仙玻璃田,https://you.ctrip.com/sight/guilin28/134775027.html?scene=online,广西壮族自治区桂林市临桂区128乡道与103县道交叉口东南23公里,2,
桂海碑林博物馆,https://you.ctrip.com/sight/guilin28/1418152.html?scene=online,桂林市七星区龙隐路1号,18,4.4
徐悲鸿故居陈列馆,https://you.ctrip.com/sight/yangshuo702/22080.html?scene=online,阳朔县前街17号(近县政府),80,4.3
罗山湖水上乐园,https://you.ctrip.com/sight/guilin28/1410441.html?scene=online,广西壮族自治区桂林市临桂区两江镇两江大道1008号(桂林两江国际机场旁),558,4.4
桂林漓江·两江四湖·精华游,https://you.ctrip.com/sight/guilin28/148648039.html?scene=online,广西壮族自治区桂林市象山区象山广场东南侧象山楼,1,
兴坪古镇步行街,https://you.ctrip.com/sight/yangshuo702/5066419.html?scene=online,桂林市阳朔县榕潭街兴坪古镇,9,4.4
阳朔大本营溜索速降课程,https://you.ctrip.com/sight/yangshuo702/2482880.html?scene=online,桂林市阳朔县阳朔大本营（月亮山背后凤楼村）,5,错误
逍遥湖景区,https://you.ctrip.com/sight/lingchuan3064/1483046.html?scene=online,广西壮族自治区桂林市灵川县大圩镇上茯荔村,120,4.2
承运殿,https://you.ctrip.com/sight/guilin28/3145979.html?scene=online,王城路1号(近正阳路)独秀峰·王城景区内,2,4.5
旧县村,https://you.ctrip.com/sight/yangshuo702/1417882.html?scene=online,广西壮族自治区桂林市阳朔县白沙镇,32,4.3
瑶寨,https://you.ctrip.com/sight/guilin28/1834874.html?scene=online,桂林市临桂区,4,4.5
桂林园博园,https://you.ctrip.com/sight/guilin28/141690.html?scene=online,桂林市雁山区雁山街389号,25,3.7
夏棠寨,https://you.ctrip.com/sight/yangshuo702/5068487.html?scene=online,桂林市阳朔县,3,
花仙谷马场,https://you.ctrip.com/sight/yangshuo702/115333997.html?scene=online,桂林市阳朔县响水路铁岭新村(千古情附近800米),4,
榕湖公园,https://you.ctrip.com/sight/guilin28/1833246.html?scene=online,广西壮族自治区桂林市市辖区,72,4.8
图腾古道,https://you.ctrip.com/sight/yangshuo702/52580.html?scene=online,广西壮族自治区桂林市阳朔县十里画廊,683,
阳朔狗蛋露营地,https://you.ctrip.com/sight/yangshuo702/133976696.html?scene=online,广西壮族自治区桂林市阳朔兴坪古镇大河背村,18,4.9
桂海晴岚·天鹅湖,https://you.ctrip.com/sight/guilin28/145213855.html?scene=online,广西壮族自治区桂林市七星区航天路,2,
天行热气球自由飞基地,https://you.ctrip.com/sight/yangshuo702/5711579.html?scene=online,桂林市阳朔县福利镇渡头村附近,3,3.7
海洋乡大桐木湾村,https://you.ctrip.com/sight/lingchuan3064/1417858.html?scene=online,广西桂林市灵川县海洋乡大桐木湾村,10,4.2
大界千层天梯观景点,https://you.ctrip.com/sight/longsheng1445120/1713970.html?scene=online,广西壮族自治区桂林市龙胜各族自治县和平乡龙脊梯田景区金坑大寨观景区田头寨(金坑红瑶观景区内),11,4.8
广西师范大学,https://you.ctrip.com/sight/guilin28/1830825.html?scene=online,中国广西壮族自治区桂林市七星区育才路15号,46,4.6
桃花江,https://you.ctrip.com/sight/guilin28/5928.html?scene=online,"登船广西桂林鲁家村码头,芳莲池码头(芦笛路芦笛岩山脚下)",56,4.7
福利古镇,https://you.ctrip.com/sight/yangshuo702/22086.html?scene=online,福利镇正东街168号,32,4.1
侗家古寨,https://you.ctrip.com/sight/guilin28/1714087.html?scene=online,桂林市象山区019乡道与321国道交叉口向西1000米,15,2.5
象鼻山与桂林三花酒,https://you.ctrip.com/sight/guilin28/1830835.html?scene=online,桂林市象山区民主路52号(近象山公园),48,3.9
桂湖,https://you.ctrip.com/sight/guilin28/69351524.html?scene=online,广西壮族自治区桂林市中山北路37号桂湖景苑2栋4-2-2号,54,4.6
桂林尧山索道,https://you.ctrip.com/sight/guilin28/5068490.html?scene=online,七星区东郊靖江路尧山景区内,8,2.8
白崇禧故居,https://you.ctrip.com/sight/guilin28/1417567.html?scene=online,广西壮族自治区桂林市秀峰区榕湖北路16号,56,4.4
兴坪渔村游,https://you.ctrip.com/sight/yangshuo702/145650776.html?scene=online,桂林市阳朔县漓江景区,22,错误
侗王夜宴,https://you.ctrip.com/sight/yangshuo702/5028384.html?scene=online,桂林市阳朔县321国道旁阳朔天籁蝴蝶泉景区,1,
桂林园林植物园,https://you.ctrip.com/sight/guilin28/141689.html?scene=online,广西壮族自治区桂林市象山区环城西一路117号,95,4.6
龙脊古壮寨梯田观景区,https://you.ctrip.com/sight/longsheng1445120/1417352.html?scene=online,桂林市龙胜各族自治县552乡道321国道路口附近龙脊梯田风景名胜区内,40,4.3
桂林千古情大剧院,https://you.ctrip.com/sight/yangshuo702/145342453.html?scene=online,响水路桂林千古情大剧院,1,错误
桂林鲁家村,https://you.ctrip.com/sight/guilin28/1708957.html?scene=online,桂林市秀峰区甲山街道办鲁家村,51,4.3
